Index	 RAT	 CFU	 HW	 Proj	 EXAM	
114	 68.89	 99.50	 84.75	 87.43	 79.87	
115	 55.56	 94.45	 49.50	 77.56	 85.45	
116	 51.78	 93.50	 74.50	 62.58	 84.78	
117	 57.78	 74.25	 63.25	 67.52	 78.37	
118	 62.89	 84.25	 90.00	 90.64	 78.83	
119	 69.11	 85.00	 20.25	 70.38	 77.40	
120	 81.55	 98.00	 77.50	 92.16	 76.94	
121	 88.89	 94.75	 72.00	 87.65	 88.20	
122	 85.33	 98.50	 72.00	 88.62	 84.31	
123	 71.77	 83.00	 79.25	 83.93	 76.03	
124	 59.78	 93.00	 89.50	 65.20	 50.42	
125	 83.11	 99.00	 98.75	 95.64	 87.33	
126	 76.67	 98.75	 92.50	 95.59	 87.33	
127	 80.67	 97.25	 90.25	 78.80	 80.07	
128	 82.22	 99.00	 94.50	 94.55	 85.77	
129	 60.45	 97.00	 100.00	 81.25	 61.90	
130	 78.45	 95.25	 87.25	 84.47	 80.56	
131	 78.67	 98.50	 73.50	 90.69	 92.83	
132	 71.11	 99.00	 93.75	 93.92	 87.33	
133	 68.45	 97.25	 70.25	 87.27	 76.54	
134	 68.45	 93.50	 94.25	 85.39	 84.46	
135	 74.22	 92.50	 47.25	 71.32	 76.91	
136	 79.55	 98.75	 72.50	 85.39	 87.18	
137	 67.77	 95.50	 68.00	 75.53	 76.03	
138	 86.22	 99.25	 100.00	 96.53	 89.19	
139	 84.00	 98.00	 100.00	 97.51	 82.46	
140	 84.89	 97.75	 82.00	 83.93	 76.44	
141	 86.67	 96.75	 91.00	 92.55	 89.99	
142	 92.22	 99.25	 96.25	 97.65	 87.20	
143	 92.00	 95.75	 100.00	 95.09	 85.56	
144	 60.45	 95.75	 75.25	 83.96	 76.75	
145	 74.89	 97.10	 88.50	 90.50	 79.77	
146	 62.22	 99.25	 91.75	 68.52	 83.27	
147	 60.89	 99.25	 100.00	 90.11	 85.77	
148	 77.55	 93.20	 93.25	 96.42	 83.65	
149	 57.78	 83.50	 90.75	 92.70	 86.25	
150	 60.67	 96.00	 84.75	 73.17	 73.49	
151	 73.33	 96.50	 97.00	 93.69	 74.74	
152	 60.00	 97.75	 78.75	 91.47	 82.54	
153	 82.89	 93.50	 89.25	 92.67	 78.73	
154	 45.11	 93.25	 97.00	 95.22	 50.41	
155	 58.44	 92.75	 94.25	 72.30	 65.13	
156	 88.22	 99.25	 98.75	 96.49	 87.16	
157	 82.22	 96.25	 98.00	 86.33	 84.18	
158	 72.00	 95.25	 68.50	 85.90	 85.56	
159	 63.11	 96.25	 82.25	 84.36	 81.87	
160	 48.00	 94.25	 69.50	 69.05	 66.90	
161	 81.33	 95.50	 82.00	 94.38	 83.83	
162	 79.55	 99.00	 55.00	 38.56	 79.31	
163	 72.44	 92.50	 86.50	 92.59	 80.10	
164	 69.33	 96.25	 77.50	 82.53	 74.50	
165	 16.00	 65.00	 61.25	 29.27	 54.01	
166	 70.67	 87.50	 72.50	 81.16	 82.46	
167	 55.11	 97.25	 84.50	 51.66	 66.90	
168	 84.45	 95.00	 100.00	 87.28	 88.20	
169	 83.11	 97.75	 84.00	 88.75	 87.02	
170	 48.45	 96.25	 0.00	 6.25	 72.69	
171	 61.78	 78.75	 77.50	 62.88	 54.01	
172	 77.11	 93.25	 44.75	 60.95	 78.83	
173	 70.67	 95.25	 88.00	 86.06	 83.83	
174	 62.22	 99.75	 82.50	 46.97	 74.87	
175	 84.67	 98.25	 100.00	 90.41	 92.83	
176	 92.00	 97.25	 100.00	 89.06	 86.19	
177	 77.55	 96.75	 100.00	 85.28	 84.18	
178	 76.00	 96.25	 67.50	 80.76	 84.18	
179	 73.33	 96.50	 97.25	 80.27	 78.49	
180	 61.11	 96.25	 95.75	 68.42	 74.74	
181	 53.55	 93.75	 65.25	 90.58	 77.43	
182	 76.00	 98.75	 95.50	 90.67	 83.81	
183	 48.67	 91.75	 51.00	 76.19	 76.91	
184	 55.11	 97.50	 54.50	 58.63	 81.86	
185	 87.55	 97.25	 98.75	 93.75	 87.02	
186	 65.33	 92.75	 86.75	 88.83	 85.15	
187	 84.89	 96.50	 100.00	 89.64	 85.32	
188	 59.55	 74.00	 78.75	 87.55	 74.81	
189	 90.89	 99.25	 100.00	 95.38	 83.81	
190	 64.00	 95.75	 0.00	 69.53	 80.91	
191	 67.11	 93.25	 75.00	 58.31	 78.41	
192	 84.22	 98.25	 88.00	 96.01	 76.94	
193	 56.89	 93.75	 93.75	 74.89	 73.41	
194	 51.55	 96.75	 59.00	 77.68	 89.99	
195	 89.78	 97.50	 68.50	 93.77	 86.57	
196	 72.67	 94.50	 74.50	 96.03	 92.83	
197	 57.33	 89.20	 83.50	 78.88	 85.45	
198	 74.67	 95.00	 86.50	 79.84	 78.65	
199	 93.33	 100.00	 100.00	 98.72	 79.87	
200	 80.22	 99.50	 93.00	 94.47	 85.77	
201	 43.55	 93.75	 0.00	 23.75	 55.42	
202	 73.55	 94.00	 0.00	 86.16	 78.65	
203	 85.33	 96.25	 98.00	 94.78	 81.87	
204	 80.00	 94.00	 95.75	 88.25	 78.41	
205	 72.00	 98.50	 93.00	 67.03	 82.83	
206	 58.67	 94.00	 96.25	 88.41	 78.41	
207	 27.33	 79.00	 0.00	 40.66	 54.01	
208	 84.45	 96.25	 100.00	 94.94	 86.19	
209	 71.33	 98.50	 85.00	 87.78	 78.24	
210	 59.55	 93.45	 76.25	 86.71	 78.65	
211	 86.89	 97.00	 66.75	 93.73	 83.72	
212	 69.11	 96.50	 70.50	 90.94	 78.50	
213	 76.00	 96.75	 68.00	 83.29	 78.49	
214	 62.89	 95.50	 24.00	 76.03	 77.69	
215	 75.11	 98.50	 92.50	 96.57	 78.24	
216	 69.77	 97.25	 66.00	 84.75	 82.02	
217	 49.33	 91.00	 65.00	 34.01	 83.85	
218	 71.55	 91.75	 85.50	 93.17	 76.91	
219	 52.67	 93.25	 40.50	 67.86	 49.30	
220	 74.67	 90.00	 85.50	 92.03	 77.40	
221	 88.67	 96.50	 100.00	 96.80	 85.32	
222	 58.89	 97.00	 94.00	 74.46	 81.55	
223	 77.33	 98.50	 83.00	 84.01	 84.39	
224	 76.89	 96.75	 74.75	 92.12	 81.54	
225	 89.11	 97.75	 80.00	 97.53	 84.25	
226	 72.22	 98.50	 96.00	 92.06	 89.39	
227	 74.00	 95.25	 81.25	 95.38	 83.83	
228	 76.22	 96.50	 86.25	 89.39	 86.19	
229	 81.77	 97.75	 91.50	 96.33	 86.86	
230	 76.89	 97.25	 100.00	 95.76	 78.49	
231	 64.23	 97.25	 0.00	 80.88	 85.83	
232	 80.00	 97.50	 91.00	 96.78	 86.57	
233	 82.89	 99.50	 96.00	 96.92	 89.19	
234	 64.89	 82.75	 89.50	 74.81	 86.25	
235	 51.11	 93.00	 76.50	 83.26	 80.10	
236	 70.67	 96.75	 72.50	 87.10	 81.41	
237	 84.00	 95.50	 75.25	 93.97	 81.54	
238	 56.67	 90.25	 38.00	 65.52	 77.40	
239	 87.33	 94.50	 97.50	 88.38	 78.65	
240	 55.11	 83.00	 37.50	 57.41	 81.25	
241	 59.55	 92.75	 75.50	 83.38	 80.10	
242	 69.11	 99.25	 89.50	 48.19	 77.97	
243	 40.89	 92.75	 0.00	 16.47	 45.41	
244	 64.45	 99.25	 95.00	 88.09	 83.81	
245	 78.00	 99.75	 83.50	 82.91	 79.87	
246	 62.22	 96.50	 93.25	 82.84	 74.74	
247	 64.89	 93.75	 88.00	 81.99	 80.15	
248	 28.00	 45.50	 0.00	 6.25	 69.81	
249	 60.89	 97.25	 97.00	 75.25	 78.85	
250	 73.77	 97.50	 49.00	 86.94	 78.85	
251	 75.55	 99.25	 93.00	 62.50	 41.73	
252	 82.22	 98.00	 97.00	 97.72	 86.57	
253	 69.33	 92.50	 86.50	 89.07	 83.78	
254	 42.22	 83.25	 78.00	 72.81	 66.13	
